rolls1:
0	0	Start	xdim=0	
44	2	Loaded	xdim=1	State_Type_x0=L	
45	2	Loaded	xdim=1	State_Type_x0=L	
46	2	Loaded	xdim=1	State_Type_x0=L	
47	2	Loaded	xdim=1	State_Type_x0=L	
48	2	Loaded	xdim=1	State_Type_x0=L	
49	2	Loaded	xdim=1	State_Type_x0=L	
50	2	Loaded	xdim=1	State_Type_x0=L	
51	2	Loaded	xdim=1	State_Type_x0=L	
52	2	Loaded	xdim=1	State_Type_x0=L	
53	2	Loaded	xdim=1	State_Type_x0=L	
54	2	Loaded	xdim=1	State_Type_x0=L	
55	2	Loaded	xdim=1	State_Type_x0=L	
56	2	Loaded	xdim=1	State_Type_x0=L	
57	2	Loaded	xdim=1	State_Type_x0=L	
58	2	Loaded	xdim=1	State_Type_x0=L	
59	2	Loaded	xdim=1	State_Type_x0=L	
60	2	Loaded	xdim=1	State_Type_x0=L	
61	3	End	xdim=0	
--------------------------------------------------------------
rolls2:
0	0	Start	xdim=0	
1	1	Fair	xdim=1	State_Type_x0=F	
2	1	Fair	xdim=1	State_Type_x0=F	
3	1	Fair	xdim=1	State_Type_x0=F	
4	1	Fair	xdim=1	State_Type_x0=F	
5	1	Fair	xdim=1	State_Type_x0=F	
6	1	Fair	xdim=1	State_Type_x0=F	
7	1	Fair	xdim=1	State_Type_x0=F	
8	1	Fair	xdim=1	State_Type_x0=F	
9	1	Fair	xdim=1	State_Type_x0=F	
10	1	Fair	xdim=1	State_Type_x0=F	
11	1	Fair	xdim=1	State_Type_x0=F	
12	1	Fair	xdim=1	State_Type_x0=F	
13	1	Fair	xdim=1	State_Type_x0=F	
14	1	Fair	xdim=1	State_Type_x0=F	
15	1	Fair	xdim=1	State_Type_x0=F	
16	1	Fair	xdim=1	State_Type_x0=F	
17	1	Fair	xdim=1	State_Type_x0=F	
18	1	Fair	xdim=1	State_Type_x0=F	
19	1	Fair	xdim=1	State_Type_x0=F	
20	1	Fair	xdim=1	State_Type_x0=F	
21	1	Fair	xdim=1	State_Type_x0=F	
22	1	Fair	xdim=1	State_Type_x0=F	
23	1	Fair	xdim=1	State_Type_x0=F	
24	1	Fair	xdim=1	State_Type_x0=F	
25	1	Fair	xdim=1	State_Type_x0=F	
26	1	Fair	xdim=1	State_Type_x0=F	
27	1	Fair	xdim=1	State_Type_x0=F	
28	1	Fair	xdim=1	State_Type_x0=F	
29	1	Fair	xdim=1	State_Type_x0=F	
30	1	Fair	xdim=1	State_Type_x0=F	
31	1	Fair	xdim=1	State_Type_x0=F	
32	1	Fair	xdim=1	State_Type_x0=F	
33	1	Fair	xdim=1	State_Type_x0=F	
34	1	Fair	xdim=1	State_Type_x0=F	
35	1	Fair	xdim=1	State_Type_x0=F	
36	1	Fair	xdim=1	State_Type_x0=F	
37	1	Fair	xdim=1	State_Type_x0=F	
38	1	Fair	xdim=1	State_Type_x0=F	
39	1	Fair	xdim=1	State_Type_x0=F	
40	1	Fair	xdim=1	State_Type_x0=F	
41	1	Fair	xdim=1	State_Type_x0=F	
42	1	Fair	xdim=1	State_Type_x0=F	
43	1	Fair	xdim=1	State_Type_x0=F	
44	1	Fair	xdim=1	State_Type_x0=F	
45	2	Loaded	xdim=1	State_Type_x0=L	
46	2	Loaded	xdim=1	State_Type_x0=L	
47	2	Loaded	xdim=1	State_Type_x0=L	
48	2	Loaded	xdim=1	State_Type_x0=L	
49	2	Loaded	xdim=1	State_Type_x0=L	
50	2	Loaded	xdim=1	State_Type_x0=L	
51	2	Loaded	xdim=1	State_Type_x0=L	
52	2	Loaded	xdim=1	State_Type_x0=L	
53	1	Fair	xdim=1	State_Type_x0=F	
54	1	Fair	xdim=1	State_Type_x0=F	
55	1	Fair	xdim=1	State_Type_x0=F	
56	1	Fair	xdim=1	State_Type_x0=F	
57	1	Fair	xdim=1	State_Type_x0=F	
58	1	Fair	xdim=1	State_Type_x0=F	
59	1	Fair	xdim=1	State_Type_x0=F	
60	1	Fair	xdim=1	State_Type_x0=F	
61	3	End	xdim=0	
--------------------------------------------------------------
rolls3:
0	0	Start	xdim=0	
1	1	Fair	xdim=1	State_Type_x0=F	
2	1	Fair	xdim=1	State_Type_x0=F	
3	1	Fair	xdim=1	State_Type_x0=F	
4	1	Fair	xdim=1	State_Type_x0=F	
5	1	Fair	xdim=1	State_Type_x0=F	
6	1	Fair	xdim=1	State_Type_x0=F	
7	1	Fair	xdim=1	State_Type_x0=F	
8	1	Fair	xdim=1	State_Type_x0=F	
9	1	Fair	xdim=1	State_Type_x0=F	
10	2	Loaded	xdim=1	State_Type_x0=L	
11	2	Loaded	xdim=1	State_Type_x0=L	
12	2	Loaded	xdim=1	State_Type_x0=L	
13	2	Loaded	xdim=1	State_Type_x0=L	
14	2	Loaded	xdim=1	State_Type_x0=L	
15	2	Loaded	xdim=1	State_Type_x0=L	
16	2	Loaded	xdim=1	State_Type_x0=L	
17	2	Loaded	xdim=1	State_Type_x0=L	
18	2	Loaded	xdim=1	State_Type_x0=L	
19	2	Loaded	xdim=1	State_Type_x0=L	
20	2	Loaded	xdim=1	State_Type_x0=L	
21	2	Loaded	xdim=1	State_Type_x0=L	
22	2	Loaded	xdim=1	State_Type_x0=L	
23	2	Loaded	xdim=1	State_Type_x0=L	
24	2	Loaded	xdim=1	State_Type_x0=L	
25	2	Loaded	xdim=1	State_Type_x0=L	
26	2	Loaded	xdim=1	State_Type_x0=L	
27	2	Loaded	xdim=1	State_Type_x0=L	
28	2	Loaded	xdim=1	State_Type_x0=L	
29	2	Loaded	xdim=1	State_Type_x0=L	
30	2	Loaded	xdim=1	State_Type_x0=L	
31	2	Loaded	xdim=1	State_Type_x0=L	
32	2	Loaded	xdim=1	State_Type_x0=L	
33	2	Loaded	xdim=1	State_Type_x0=L	
34	2	Loaded	xdim=1	State_Type_x0=L	
35	2	Loaded	xdim=1	State_Type_x0=L	
36	2	Loaded	xdim=1	State_Type_x0=L	
37	2	Loaded	xdim=1	State_Type_x0=L	
38	2	Loaded	xdim=1	State_Type_x0=L	
39	2	Loaded	xdim=1	State_Type_x0=L	
40	2	Loaded	xdim=1	State_Type_x0=L	
41	1	Fair	xdim=1	State_Type_x0=F	
42	1	Fair	xdim=1	State_Type_x0=F	
43	1	Fair	xdim=1	State_Type_x0=F	
44	1	Fair	xdim=1	State_Type_x0=F	
45	1	Fair	xdim=1	State_Type_x0=F	
46	1	Fair	xdim=1	State_Type_x0=F	
47	1	Fair	xdim=1	State_Type_x0=F	
48	1	Fair	xdim=1	State_Type_x0=F	
49	1	Fair	xdim=1	State_Type_x0=F	
50	1	Fair	xdim=1	State_Type_x0=F	
51	1	Fair	xdim=1	State_Type_x0=F	
52	1	Fair	xdim=1	State_Type_x0=F	
53	1	Fair	xdim=1	State_Type_x0=F	
54	1	Fair	xdim=1	State_Type_x0=F	
55	1	Fair	xdim=1	State_Type_x0=F	
56	1	Fair	xdim=1	State_Type_x0=F	
57	1	Fair	xdim=1	State_Type_x0=F	
58	1	Fair	xdim=1	State_Type_x0=F	
59	1	Fair	xdim=1	State_Type_x0=F	
60	1	Fair	xdim=1	State_Type_x0=F	
61	3	End	xdim=0	
--------------------------------------------------------------
